,word,adult_definition,kids_definition,adult_word_count,kids_word_count,from_Qwen2,word_count,similarity
4998,aspire,'To yearn (for) or have a powerful or ambitious plan desire or hope (to do or be something).','to have a strong desire to achieve or to become something',18,11,really want to do or be something,7,0.72879416
4999,terrify,'To frighten greatly; to fill with terror.','to make somebody feel extremely frightened',7,6,to make somebody feel very scared,6,0.79600936
5000,subset,'With respect to another set a set such that each of its elements is also an element of the other set.','a smaller group of people or things formed from the members of a larger group',21,15,a little team picked from a big group of people or stuff,12,0.7511144
5001,inefficient,'Not efficient; not producing the effect intended or desired.','not doing a job well and not making the best use of time money energy etc.',9,16,"not doing a good job and not using time, money, and energy right.",13,0.83774686
5002,inherently,'In an inherent way; naturally innately unavoidably.','according to or because of the basic nature of somebody/something ',7,11,"because of how someone or something is, really.",8,0.71961147
5003,magnificent,'Grand elegant or splendid in appearance.','extremely attractive and impressive; deserving praise',6,6,really pretty and good; gets lots of praise,8,0.72263354
5004,brownout,'A partial power outage a disruption in electric power supply that reduces the voltage available causing lights to dim.','a period of time when the amount of electrical power that is supplied to an area is reduced',19,18,a time when the electricity in an area is less than usual,12,0.8529489
5005,blow-dry,'To dry with a hair dryer.',a beauty treatment in which somebody's hair is dried with a hairdryer and shaped into a particular style,6,18,A special hair fix where someone uses a hair blower to dry and make your hair look a certain way.,20,0.9136002
5006,irrationally,'In a manner contrary to reason.','in a way that is not based on or does not use clear logical thought',6,15,without using clear thinking,4,0.7051731
5007,psychiatric,'Of or relating to psychiatry.','relating to psychiatry or to mental illnesses',5,7,about doctor stuff for the mind or when your head feels sick,12,0.64312965
5008,microbial,'Of relating to or caused by microbes or microorganisms.','relating to microorganisms (= extremely small living things) especially bacteria that cause disease or fermentation',9,15,"Talking about very, very tiny living things, like some that make people sick or help make food change.",18,0.7330102
5009,promising,'Showing promise and likely to develop in a desirable fashion.','showing signs of being good or successful',10,7,showing that it's good or doing well,7,0.83341414
5010,kayak,'A small and narrow boat propelled manually with a double-bladed paddle.','a light canoe in which the part where you sit is covered over',11,13,A small boat with a cover on the place you sit.,11,0.84395874
5011,fantasize,'To have a daydream; to indulge in a fantasy.','to imagine that you are doing something that you would like to do or that something that you would like to happen is happening even though this is very unlikely',9,30,"To think about doing something fun or wishing for something nice, even if it's not going to happen.",18,0.7115908
5012,poem,'A literary piece written in verse.','a piece of writing in which the words are chosen for their sound and the images they suggest not just for their obvious meanings. The words are arranged in separate lines usually with a repeated rhythm and often the lines rhyme at the end.',6,44,"This is a writing bit where words sound nice and show pictures, not just clear thoughts. The words are in lines, often with a beat and ending sounds that match.",30,0.88323355
5013,sclera,'The opaque fibrous protective outer layer of the eye containing collagen and elastic fiber.','the white part of the eye',14,6,the white part in the eye,6,0.85467285
5014,halibut,'A flatfish of the genus Hippoglossus and the family Pleuronectidae living in the North of Atlantic and Pacific oceans.','a large flat sea fish that is used for food',19,10,"A big, flat fish from the sea that people eat.",10,0.83717024
5015,flooded,'Filled with water from rain or rivers.','covered by a large amount of water',7,7,lots of water on top,5,0.7351154
5016,stepfather,The husband of one's biological mother other than one's biological father.,'a man who is the husband or partner of your mother but who is not your birth father',11,18,"a man who is like a dad to you because he's with your mom, but he's not the one who made you",22,0.74698704
5017,stepdad,The husband of one's biological mother other than one's biological father.,'a man who is the husband or partner of your mother but who is not your birth father',11,18,"a man who is like a dad to you, but he's not the one who was your dad when you were born",22,0.7766094
5018,gee,'The seventh letter of the Roman alphabet.','a word that some people use to show that they are surprised impressed or annoyed',7,15,"Some people say a word when they feel surprised, wow, or bothered.",12,0.7732475
5019,aitch,'The eighth letter of the Roman alphabet.','the letter H written as a word',7,7,the word that starts with H,6,0.7909961
5020,tattooist,A person who draws tattoos on other people's skin.,'a person who draws tattoos on people’s skin as a job',9,11,A person whose job is to draw tattoos on people's skin.,11,0.866555
